"LINE","BATCH_ID","LOT_ID","LOT_TYPE","PROD_NAME","STEP_NAME","PRIORITY","LOT_STATUS","QTY","LOT_CMMT","CST_ID","CST_LOCATION","LAST_TRKOUT_TIME","TRKIN_TIME","W/T(hrs)","P/T(hrs)","H/T(hrs)"
"","E12912F","700H1FC804P0","E","700H1T","RW1B0_RW_S_ITO","Normal","Waiting","5","MFG_陳韋辰_內為阻值異常基板,待PE李建廷處理","1W379","","2012/09/13 10:41:21","","242.18","",""
"700H_DE_OCL","E12912A","700H1FC804Q0.02","E","700H1T","T6A330_DE_OCL","Normal","Waiting","9","","1W100","","2012/09/21 07:48:26","","53.06","",""
"700H_DE_OCL","E12912A","700H1FC804Q0.04","E","700H1T","T6A330_DE_OCL","Normal","Waiting","72","","1W055","","2012/09/21 07:17:02","","53.58","",""
"700H_DE_OCL","E12912A","700H1FC804R0.07","E","700H1T","T6A330_DE_OCL","Normal","Waiting","70","","1W216","","2012/09/21 09:35:44","","51.27","",""
"700H_DE_OCL","E12912A","700H1FC900B0.04","E","700H1T","T6A330_DE_OCL","Normal","Waiting","72","","1W278","","2012/09/23 05:19:20","","7.55","",""
"","E12912C","700H1TC71TB0.0J","E","700H1T","WaitForReceive","Hot","","72","700N1T/700H1T PAS Risk Run","1W229","","2012/09/22 01:39:02","","","",""
"CFRF_1(R33)","RCD053","700L1FC80010.1W","P","REWORK-R33-EXG.5","CFRF_331_RWF1","Normal","OnHold","72","MFG_吳明典_CFAJ站點檢查到PS殘*72,PE陳證文指示跳回CFRF_331重投 (Reposition step hold)","1W363","","2012/09/20 04:36:15","","","","76.54"
"Rework_Out","R970B3","700M1FC20060.12","P","REWORK-R33-EXG.5","PS_Rework_Out","Normal","Waiting","20","","PP080","","2012/08/29 16:18:17","","596.56","",""
"PS_Rework_Pack_PPBOX","R970B3","700M1FC20060.13","P","REWORK-R33-EXG.5","PS_Rework_Pack_PPBOX","Normal","OnHold","8","MFG_IVAN_待外送酸洗_STK4000-15Q","PP081","","2012/04/02 17:28:46","","","","2019.22"
"PS_Rework_Pack_PPBOX","R700M3","700M1FC60090.0N","P","REWORK-R33-EXG.5","PS_Rework_Pack_PPBOX","Normal","OnHold","20","MFG_IVAN_待外送酸洗_L6 13Q
","PP180","","2012/07/01 20:36:34","2012/07/04 07:49:08","","","1510.15"
"PS_Rework_Pack_PPBOX","R700M3","700M1FC60090.0P","P","REWORK-R33-EXG.5","PS_Rework_Pack_PPBOX","Normal","OnHold","20","MFG_IVAN_待外送酸洗_L6 12Q
","PP181","","2012/07/01 20:36:34","2012/07/04 07:49:08","","","1510.14"
"PS_Rework_Pack_PPBOX","R700M3","700M1FC60090.0Q","P","REWORK-R33-EXG.5","PS_Rework_Pack_PPBOX","Normal","OnHold","20","MFG_IVAN_待外送酸洗_L6 12Q
","PP182","","2012/07/01 20:36:34","2012/07/04 07:49:08","","","1510.13"
"PS_Rework_Pack_Cst","R700M3","700M1FC60090.0X","P","REWORK-R33-EXG.5","PS_Rework_Pack_Cst","Normal","OnHold","17","MF_IVAN_待外送酸洗_STK4000","PP700","","2012/07/29 07:59:21","2012/07/29 11:19:02","","","429.36"
"Rework_Out","R700M3","700M1FC600E0.0L","P","REWORK-R33-EXG.5","PS_Rework_Out","Normal","Waiting","20","MFG_洪啟仁_打包外送","PP183","","2012/08/25 05:20:00","","703.53","",""
"Rework_Out","R700M3","700M1FC600E0.0M","P","REWORK-R33-EXG.5","PS_Rework_Out","Normal","Waiting","20","MFG_洪啟仁_依鄭育澤短RUN 指示外送打包","PP184","","2012/08/27 23:26:05","","637.43","",""
"Rework_Out","R700M3","700M1FC70020.1C","P","REWORK-R33-EXG.5","PS_Rework_Out","Normal","Waiting","20","MFG_洪啟仁_打包外送","PP215","","2012/08/25 05:20:56","","703.52","",""
"Rework_Out","R700M3","700M1FC70020.1D","P","REWORK-R33-EXG.5","PS_Rework_Out","Normal","Waiting","20","MFG_洪啟仁_打包外送","PP216","","2012/08/25 05:21:11","","703.51","",""
"Rework_Out","R700M3","700M1FC70020.1E","P","REWORK-R33-EXG.5","PS_Rework_Out","Normal","Waiting","20","MFG_洪啟仁_打包外送","PP217","","2012/08/25 05:21:26","","703.51","",""
"PS_Rework_Pack_PPBOX","R700M3","700M1FC70040.0T","P","REWORK-R33-EXG.5","PS_Rework_Pack_PPBOX","Normal","Waiting","16","MFG_IVAN_待外送酸洗_L6 12Q
","PP185","","2012/07/08 15:57:20","","1844.91","",""
"Rework_Out","R700M3","700M1FC70040.0U","P","REWORK-R33-EXG.5","PS_Rework_Out","Normal","Waiting","20",".","PP186","","2012/08/27 23:25:39","","637.44","",""
"Rework_Out","R700M3","700M1FC70040.0V","P","REWORK-R33-EXG.5","PS_Rework_Out","Normal","Waiting","20","MFG_洪啟仁_打包外送","PP212","","2012/08/25 05:20:20","","703.53","",""
"PS_Rework_Pack_PPBOX","R700M3","700M1FC70040.0W","P","REWORK-R33-EXG.5","PS_Rework_Pack_PPBOX","Normal","OnHold","9","MFG_IVAN_待外送酸洗_L6 11Q~12Q
","PP214","","2012/07/15 15:34:35","2012/07/20 10:03:38","","","1509.20"
"PS_Rework_Pack_Cst","R700M3","700M1FC70080.13","P","REWORK-R33-EXG.5","PS_Rework_Pack_Cst","Normal","Waiting","20","MFG_陳佳君_明書指示:待打包","PP320","","2012/08/09 16:17:00","","1076.58","",""
"PS_Rework_Pack_Cst","R700M3","700M1FC70080.14","P","REWORK-R33-EXG.5","PS_Rework_Pack_Cst","Normal","Waiting","20","MFG_鄧聖傑_陳冠儒_R700M3暫不清洗，打包_L6 STK4000","PP321","","2012/08/09 16:17:00","","1076.58","",""
"PS_Rework_Pack_Cst","R700M3","700M1FC70080.15","P","REWORK-R33-EXG.5","PS_Rework_Pack_Cst","Normal","Waiting","11","MFG_鄧聖傑_陳冠儒_R700M3暫不清洗，打包_L6 STK4000","PP323","","2012/08/09 16:17:00","","1076.58","",""
"PS_Rework_Pack_Cst","R700M3","700M1FC70080.17","P","REWORK-R33-EXG.5","PS_Rework_Pack_Cst","Normal","Waiting","20","","PP423","","2012/08/09 16:17:00","","1076.58","",""
"PS_Rework_Pack_Cst","R700M3","700M1FC70080.18","P","REWORK-R33-EXG.5","PS_Rework_Pack_Cst","Normal","Waiting","4","","PP424","","2012/08/09 16:17:00","","1076.58","",""
"Rework_Out","R700M3","700M1FC700J0.17","P","REWORK-R33-EXG.5","PS_Rework_Out","Normal","Waiting","20","MFG_洪啟仁_打包外送","PP218","","2012/08/25 05:21:43","","703.51","",""
"Rework_Out","R700M3","700M1FC700J0.18","P","REWORK-R33-EXG.5","PS_Rework_Out","Normal","Waiting","18","","PP219","","2012/07/14 16:17:51","2012/07/16 09:27:04","1700.57","",""
"PS_Rework_Pack_PPBOX","R700M3","700M1FC700J0.19","P","REWORK-R33-EXG.5","PS_Rework_Pack_PPBOX","Normal","Waiting","18","MFG_IVAN_待外送酸洗_L6 10Q
","PP228","","2012/07/14 16:17:51","2012/07/16 09:27:04","1700.57","",""
"PS_Rework_Pack_Cst","R700M3","700M1FC70110.12","P","REWORK-R33-EXG.5","PS_Rework_Pack_Cst","Normal","OnHold","20","MFG_IVAN_待外送酸洗_L6 13Q~14Q
","PP035","","2012/07/14 10:50:48","2012/07/16 11:29:38","","","1521.24"
